name	parent	fio	post
ТИК № 17	Санкт-Петербургская избирательная комиссия	Белик Александр Николаевич	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Виноградова Александра Евгеньевна	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Касаткин Иван Михайлович	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Колпаков Михаил Иванович	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Маякова Татьяна Александровна	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Панов Глеб Борисович	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Пашков Николай Михайлович	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Петренко Анатолий Васильевич	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Тюльпанова Кристина Борисовна	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Ухтомский Антон Олегович	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Алексеев Вячеслав Евгеньевич	Председатель
ТИК № 18	Санкт-Петербургская избирательная комиссия	Дятлов Виталий Олегович	Зам.председателя
ТИК № 18	Санкт-Петербургская избирательная комиссия	Чиканчи Елена Анатольевна	Секретарь
ТИК № 18	Санкт-Петербургская избирательная комиссия	Абдулкеримов Рамис Агарагимович	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Безруков Вячеслав Алексеевич	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Беленович Олег Вениаминович	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Белова Юлия Викторовна	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Васильева Дарья Викторовна	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Добряков Алексей Борисович	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Зорина Мария Игоревна	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Зотов Кирилл Витальевич	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Идрисов Динар Равильевич	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Тихомирова Анна Сергеевна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Козлов Дмитрий Николаевич	Председатель
ТИК № 19	Санкт-Петербургская избирательная комиссия	Попов Андрей Игоревич	Зам.председателя
ТИК № 19	Санкт-Петербургская избирательная комиссия	Шмидт Диана Анатольевна	Секретарь
ТИК № 19	Санкт-Петербургская избирательная комиссия	Алиева Ольга Игоревна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Бендак Наталья Сергеевна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Бузмаков Вадим Вачеславович	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Лаврентьев Николай Владимирович	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Меньшенин Роман Анатольевич	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Паршута Анастасия Александровна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Попов Сергей Алексеевич	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Титор Олеся Юрьевна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Чекмарева Анна Анатольевна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Черный Даниил Максимович	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Иванова Анастасия Геннадьевна	Председатель
ТИК № 20	Санкт-Петербургская избирательная комиссия	Орлова Алёна Сергеевна	Зам.председателя
